,Location,BHK,Sq.ft,Floor,Price
780,Bommanahalli,2,1135,2,16000
781,Whitefield,3,2200,10,42000
782,Bommanahalli,3,1471,3,21000
783,Whitefield,2,1333,3,26000
784,Bommanahalli,2,1089,2,15500
785,Whitefield,3,1675,4,26000
786,Bommanahalli,2,1300,3,20000
787,Whitefield,2,1280,3,23000
788,Bommanahalli,2,1400,2,22000
789,Bommanahalli,2,1251,3,19500
790,Bommanahalli,2,1089,2,15500
791,Bommanahalli,2,1300,3,20000
792,Bommanahalli,3,1250,1,20000
793,Bommanahalli,2,950,1,14000
794,Whitefield,3,1675,4,26000
795,Bommanahalli,2,1089,2,15500
796,Whitefield,3,3155,1,45000
797,Bommanahalli,2,1400,2,22000
798,Bommanahalli,2,950,1,14000
799,Whitefield,3,2292,12,39000
800,Whitefield,2,1200,1,20000
801,Whitefield,3,2100,7,28000
802,Bommanahalli,2,1200,4,19000
803,Whitefield,2,1245,1,25000
804,Whitefield,3,2117,0,33000
805,Whitefield,2,1245,1,25000
806,Bommanahalli,2,767,3,16000
807,Bommanahalli,3,1250,1,20000
808,Bommanahalli,3,3000,3,28000
809,Bommanahalli,3,1650,0,18000
810,Bommanahalli,3,1500,1,22000
811,Bommanahalli,2,767,3,16000
812,Bommanahalli,3,1375,3,19000
813,Bommanahalli,2,1089,2,15500
814,Whitefield,2,1088,1,14000
815,Whitefield,3,1870,3,35000
816,Whitefield,2,1060,1,16000
817,Whitefield,2,1290,10,26000
818,Whitefield,3,2180,11,35000
819,Bommanahalli,2,1033,0,16500
820,Bommanahalli,3,1500,1,22000
821,Bommanahalli,3,1375,3,19000
822,Bommanahalli,3,3000,3,28000
823,Bommanahalli,3,1250,1,20000
824,Whitefield,2,1290,10,26000
825,Bommanahalli,2,1135,2,16000
826,Bommanahalli,3,1381,4,22000
827,Whitefield,2,1333,3,26000
828,Whitefield,3,2117,0,33000
829,Whitefield,3,3155,1,45000
830,Whitefield,3,2100,7,28000
831,Whitefield,3,1704,13,35000
832,Bommanahalli,2,1089,2,15500
833,Whitefield,3,1768,11,30000
834,Whitefield,2,1000,3,18000
835,Bommanahalli,2,1050,2,18000
836,Bommanahalli,3,1460,2,25000
837,Whitefield,3,1870,3,35000
838,Bommanahalli,3,1250,1,20000
839,Whitefield,3,2117,0,33000
840,Bommanahalli,3,1650,0,18000
841,Bommanahalli,2,950,1,14000
842,Bommanahalli,2,960,3,11000
843,Bommanahalli,2,767,3,16000
844,Whitefield,3,1600,9,27000
845,Whitefield,3,2292,12,39000
846,Bommanahalli,3,1500,1,22000
847,Bommanahalli,2,1300,3,20000
848,Bommanahalli,2,1089,2,15500
849,Bommanahalli,2,767,3,16000
850,Whitefield,2,1088,1,14000
851,Bommanahalli,2,767,3,16000
852,Whitefield,2,1000,3,18000
853,Whitefield,2,1060,1,17000
854,Bommanahalli,3,1650,0,18000
855,Whitefield,2,1245,1,25000
856,Bommanahalli,3,1381,4,22000
857,Whitefield,2,1000,3,16400
858,Bommanahalli,2,1200,4,19000
859,Whitefield,2,1280,3,23000
860,Bommanahalli,3,3000,3,28000
861,Bommanahalli,3,1460,2,25000
862,Whitefield,2,1000,3,16400
863,Bommanahalli,2,1089,2,15500
864,Bommanahalli,3,1460,2,25000
865,Bommanahalli,2,950,1,14000
866,Bommanahalli,3,3000,3,28000
867,Whitefield,2,1326,3,21000
868,Bommanahalli,2,1050,2,18000
869,Bommanahalli,2,1089,2,15500
870,Bommanahalli,3,1650,0,18000
871,Whitefield,3,2100,7,28000
872,Whitefield,3,2200,10,42000
873,Bommanahalli,2,1135,2,16000
874,Bommanahalli,2,1400,2,22000
875,Whitefield,2,1060,1,16000
876,Bommanahalli,3,1250,1,20000
877,Bommanahalli,2,1300,3,20000
878,Bommanahalli,2,1200,4,19000
879,Whitefield,3,3155,1,45000
880,Bommanahalli,3,1250,1,20000
881,Whitefield,2,1326,3,21000
882,Whitefield,3,1704,13,35000
883,Bommanahalli,2,950,1,14000
884,Whitefield,3,1675,4,26000
885,Bommanahalli,2,1089,2,15500
886,Whitefield,3,2100,7,28000
887,Bommanahalli,2,1033,0,16500
888,Bommanahalli,2,1089,2,15500
889,Whitefield,2,1245,1,25000
890,Bommanahalli,2,767,3,16000
891,Whitefield,2,1326,3,21000
892,Bommanahalli,2,950,1,14000
893,Bommanahalli,3,1250,1,20000
894,Whitefield,2,1000,3,16400
895,Bommanahalli,3,1460,2,25000
896,Whitefield,2,1280,3,23000
897,Whitefield,2,1060,1,17000
898,Whitefield,2,1060,1,17000
899,Whitefield,2,1600,4,24000
900,Bommanahalli,2,1050,2,18000
901,Bommanahalli,2,1200,4,19000
902,Whitefield,3,1675,4,26000
903,Bommanahalli,3,1500,1,22000
904,Bommanahalli,2,1251,3,19500
905,Whitefield,3,2200,10,42000
906,Bommanahalli,3,3000,3,28000
907,Bommanahalli,3,1250,1,20000
908,Bommanahalli,2,1300,3,20000
909,Bommanahalli,3,1381,4,22000
910,Bommanahalli,2,1251,3,19500
911,Bommanahalli,2,950,1,14000
912,Whitefield,2,1326,3,21000
913,Bommanahalli,2,1300,3,20000
914,Bommanahalli,2,1089,2,15500
915,Bommanahalli,3,3000,3,28000
916,Whitefield,2,1088,1,14000
917,Bommanahalli,3,1460,2,25000
918,Bommanahalli,2,1300,3,20000
919,Bommanahalli,3,1650,0,18000
920,Bommanahalli,2,1089,2,15500
921,Whitefield,3,1870,3,35000
922,Whitefield,2,1326,3,21000
923,Bommanahalli,2,767,3,16000
924,Bommanahalli,2,1089,2,15500
925,Whitefield,2,1280,3,23000
926,Bommanahalli,3,1250,1,20000
927,Whitefield,2,1568,3,28000
928,Whitefield,2,1280,3,23000
929,Bommanahalli,3,1375,3,19000
930,Whitefield,2,1088,1,14000
931,Whitefield,2,1245,1,25000
932,Whitefield,2,1280,3,23000
933,Bommanahalli,2,950,1,14000
934,Bommanahalli,2,1050,2,18000
935,Bommanahalli,2,960,3,11000
936,Whitefield,2,1200,1,20000
937,Whitefield,3,2292,12,39000
938,Whitefield,2,1060,1,17000
939,Whitefield,2,1290,10,26000
940,Bommanahalli,3,1375,3,19000
941,Bommanahalli,3,3000,3,28000
942,Whitefield,3,2100,7,28000
943,Whitefield,2,1280,3,23000
944,Bommanahalli,3,1375,3,19000
945,Whitefield,2,1326,3,21000
946,Whitefield,3,3155,1,45000
947,Whitefield,2,1000,3,18000
948,Bommanahalli,2,1089,2,15500
949,Whitefield,3,2292,12,39000
950,Bommanahalli,2,950,1,14000
951,Whitefield,3,1675,4,26000
952,Bommanahalli,2,960,3,11000
953,Bommanahalli,2,1135,2,16000
954,Whitefield,3,1600,9,27000
955,Bommanahalli,3,1744,2,22000
956,Whitefield,2,1000,3,16400
957,Bommanahalli,2,950,1,14000
958,Bommanahalli,3,1250,1,20000
959,Whitefield,3,1760,8,39500
960,Whitefield,3,1600,9,27000
961,Whitefield,3,2117,0,33000
962,Whitefield,2,1290,10,26000
963,Whitefield,2,1600,4,24000
964,Bommanahalli,2,950,1,14000
965,Whitefield,2,1280,3,23000
966,Whitefield,2,1280,3,23000
967,Whitefield,3,1870,3,35000
968,Bommanahalli,2,1089,2,15500
969,Bommanahalli,2,1033,0,16500
970,Bommanahalli,2,950,1,14000
971,Whitefield,2,1245,1,25000
972,Whitefield,2,1200,1,20000
973,Bommanahalli,2,1033,0,16500
974,Whitefield,2,1060,1,17000
975,Whitefield,2,1280,3,23000
976,Whitefield,2,1290,10,26000
977,Bommanahalli,3,1744,2,22000
978,Bommanahalli,3,1375,3,19000
979,Bommanahalli,2,767,3,16000
980,Whitefield,2,1000,3,18000
981,Bommanahalli,2,1089,2,15500
982,Bommanahalli,2,1400,2,22000
983,Bommanahalli,3,1250,1,20000
984,Whitefield,3,1600,9,27000
985,Whitefield,2,1326,3,21000
986,Whitefield,3,2180,11,35000
987,Whitefield,2,1333,3,26000
988,Whitefield,3,2180,11,35000
989,Whitefield,2,1326,3,21000
990,Whitefield,3,1600,9,27000
991,Whitefield,2,1088,1,14000
992,Bommanahalli,3,1460,2,25000
993,Whitefield,2,1290,10,26000
994,Whitefield,2,1060,1,17000
995,Bommanahalli,3,1460,2,25000
996,Whitefield,3,2100,7,28000
997,Bommanahalli,2,1033,0,16500
998,Bommanahalli,3,1500,1,22000
999,Whitefield,3,1768,11,30000
